itemId,itemName,icon,rarity,slot,type,location
154,Primitive Mantle,inv_misc_cape_14,common,Shirt,Shirt,
193,Tattered Cloth Vest,inv_shirt_black_01,common,Chest,Cloth,
194,Tattered Cloth Pants,inv_pants_12,common,Legs,Cloth,
195,Tattered Cloth Boots,inv_boots_05,common,Feet,Cloth,
200,Thick Cloth Vest,inv_shirt_02,common,Chest,Cloth,
201,Thick Cloth Pants,inv_pants_12,common,Legs,Cloth,
202,Thick Cloth Shoes,inv_boots_05,common,Feet,Cloth,
203,Thick Cloth Gloves,inv_gauntlets_21,common,Hands,Cloth,
209,Dirty Leather Pants,inv_pants_wolf,common,Legs,Leather,
210,Dirty Leather Boots,inv_boots_06,common,Feet,Leather,
236,Cured Leather Armor,inv_chest_leather_10,common,Chest,Leather,
237,Cured Leather Pants,inv_pants_06,common,Legs,Leather,
238,Cured Leather Boots,inv_boots_03,common,Feet,Leather,
239,Cured Leather Gloves,inv_gauntlets_21,common,Hands,Leather,
285,Scalemail Vest,inv_chest_chain_09,common,Chest,Mail,
286,Scalemail Pants,inv_pants_03,common,Legs,Mail,
287,Scalemail Boots,inv_boots_01,common,Feet,Mail,
647,Destiny,inv_sword_19,epic,Two-hand,Sword,BOE
710,Bracers of the People's Militia,inv_bracer_11,common,Wrist,Cloth,
711,Tattered Cloth Gloves,inv_gauntlets_27,common,Hands,Cloth,
714,Dirty Leather Gloves,inv_gauntlets_18,common,Hands,Leather,
718,Scalemail Gloves,inv_gauntlets_04,common,Hands,Mail,
719,Rabbit Handler Gloves,inv_gauntlets_06,common,Hands,Cloth,
720,Brawler Gloves,inv_gauntlets_05,rare,Hands,Leather,BOE
727,Notched Shortsword,inv_sword_04,uncommon,One-hand,Sword,
744,Thunderbrew's Boot Flask,inv_drink_01,uncommon,Trinket,Trinket,
753,Dragonmaw Shortsword,inv_sword_36,uncommon,One-hand,Sword,
754,Shortsword of Vengeance,inv_sword_14,rare,One-hand,Sword,BOE
756,Tunnel Pick,inv_pick_02,uncommon,Two-hand,Axe,
763,Ice-covered Bracers,inv_bracer_08,common,Wrist,Leather,
766,Flanged Mace,inv_mace_07,common,Main Hand,Mace,
767,Long Bo Staff,inv_staff_08,common,Two-hand,Staff,
768,Lumberjack Axe,inv_axe_01,common,Main Hand,Axe,
776,Vendetta,inv_weapon_shortblade_02,rare,One-hand,Dagger,
778,Kobold Excavation Pick,inv_pick_02,common,Main Hand,Axe,
781,Stone Gnoll Hammer,inv_hammer_09,common,Main Hand,Mace,
789,Stout Battlehammer,inv_hammer_08,uncommon,Main Hand,Mace,
790,Forester's Axe,inv_axe_14,uncommon,Main Hand,Axe,
791,Gnarled Ash Staff,inv_staff_02,rare,Two-hand,Staff,BOE
792,Knitted Sandals,inv_boots_fabric_01,common,Feet,Cloth,
793,Knitted Gloves,inv_gauntlets_18,common,Hands,Cloth,
794,Knitted Pants,inv_pants_11,common,Legs,Cloth,
795,Knitted Tunic,inv_shirt_10,common,Chest,Cloth,
796,Rough Leather Boots,inv_boots_09,common,Feet,Leather,
797,Rough Leather Gloves,inv_gauntlets_18,common,Hands,Leather,
798,Rough Leather Pants,inv_pants_09,common,Legs,Leather,
799,Rough Leather Vest,inv_chest_wolf,common,Chest,Leather,
809,Bloodrazor,inv_sword_28,epic,Main Hand,Sword,BOE
810,Hammer of the Northern Wind,inv_hammer_11,epic,Main Hand,Mace,BOE
811,Axe of the Deep Woods,inv_axe_07,epic,Main Hand,Axe,BOE
812,Glowing Brightwood Staff,inv_staff_29,epic,Two-hand,Staff,BOE
816,Small Hand Blade,inv_weapon_shortblade_01,uncommon,One-hand,Dagger,
820,Slicer Blade,inv_weapon_shortblade_01,uncommon,One-hand,Dagger,
821,Riverpaw Leather Vest,inv_shirt_07,uncommon,Chest,Leather,
826,Brutish Riverpaw Axe,inv_axe_01,uncommon,Main Hand,Axe,
827,Wicked Blackjack,inv_mace_01,uncommon,Main Hand,Mace,
832,Silver Defias Belt,inv_belt_03,uncommon,Waist,Mail,
833,Lifestone,inv_ore_truesilver_01,epic,Trinket,Trinket,BOE
837,Heavy Weave Armor,inv_shirt_06,common,Chest,Cloth,
838,Heavy Weave Pants,inv_pants_14,common,Legs,Cloth,
839,Heavy Weave Gloves,inv_gauntlets_18,common,Hands,Cloth,
840,Heavy Weave Shoes,inv_boots_05,common,Feet,Cloth,
843,Tanned Leather Boots,inv_boots_wolf,common,Feet,Leather,
844,Tanned Leather Gloves,inv_gauntlets_05,common,Hands,Leather,
845,Tanned Leather Pants,inv_pants_wolf,common,Legs,Leather,
846,Tanned Leather Jerkin,inv_chest_wolf,common,Chest,Leather,
847,Chainmail Armor,inv_chest_chain,common,Chest,Mail,
848,Chainmail Pants,inv_pants_03,common,Legs,Mail,
849,Chainmail Boots,inv_boots_01,common,Feet,Mail,
850,Chainmail Gloves,inv_gauntlets_04,common,Hands,Mail,
851,Cutlass,inv_sword_36,common,One-hand,Sword,
852,Mace,inv_mace_15,common,One-hand,Mace,
853,Hatchet,inv_axe_11,common,One-hand,Axe,
854,Quarter Staff,inv_staff_17,common,Two-hand,Staff,
859,Fine Cloth Shirt,inv_shirt_02,common,Shirt,Shirt,
860,Cavalier's Boots,inv_boots_05,common,Feet,Cloth,
862,Runed Ring,inv_belt_34,rare,Finger,Finger,
863,Gloom Reaper,inv_axe_08,uncommon,One-hand,Axe,
864,Knightly Longsword,inv_sword_27,uncommon,One-hand,Sword,
865,Leaden Mace,inv_mace_03,uncommon,One-hand,Mace,
866,Monk's Staff,inv_staff_08,uncommon,Two-hand,Staff,
867,Gloves of Holy Might,inv_gauntlets_06,epic,Hands,Leather,BOE
868,Ardent Custodian,inv_mace_13,epic,Main Hand,Mace,BOE
869,Dazzling Longsword,inv_sword_25,epic,Main Hand,Sword,BOE
870,Fiery War Axe,inv_axe_02,epic,Two-hand,Axe,BOE
871,Flurry Axe,inv_axe_17,epic,One-hand,Axe,BOE
872,Rockslicer,inv_throwingaxe_01,uncommon,Two-hand,Axe,
873,Staff of Jordan,inv_staff_13,epic,Two-hand,Staff,BOE
880,Staff of Horrors,inv_staff_25,uncommon,Two-hand,Staff,
885,Black Metal Axe,inv_axe_14,uncommon,Main Hand,Axe,
886,Black Metal Shortsword,inv_sword_26,uncommon,Main Hand,Sword,
888,Naga Battle Gloves,inv_gauntlets_13,rare,Hands,Leather,
890,Twisted Chanter's Staff,inv_staff_04,rare,Two-hand,Staff,BOE
892,Gnoll Casting Gloves,inv_gauntlets_04,uncommon,Hands,Cloth,
897,Madwolf Bracers,inv_bracer_05,uncommon,Wrist,Leather,
899,Venom Web Fang,inv_misc_monsterfang_01,uncommon,One-hand,Dagger,
911,Ironwood Treebranch,inv_mace_01,uncommon,Two-hand,Mace,
914,Large Ogre Chain Armor,inv_chest_chain,uncommon,Chest,Mail,
920,Wicked Spiked Mace,inv_mace_11,uncommon,Main Hand,Mace,
922,Dacian Falx,inv_sword_10,common,Two-hand,Sword,
923,Longsword,inv_sword_23,common,Main Hand,Sword,
924,Maul,inv_hammer_07,common,Two-hand,Mace,
925,Flail,inv_mace_01,common,Main Hand,Mace,
926,Battle Axe,inv_throwingaxe_05,common,Two-hand,Axe,
927,Double Axe,inv_axe_21,common,One-hand,Axe,
928,Long Staff,inv_staff_20,common,Two-hand,Staff,
934,Stalvan's Reaper,inv_axe_14,rare,One-hand,Axe,BOE
935,Night Watch Shortsword,inv_sword_26,rare,One-hand,Sword,BOE
936,Midnight Mace,inv_misc_bone_elfskull_01,rare,One-hand,Mace,BOE
937,Black Duskwood Staff,inv_staff_13,rare,Two-hand,Staff,BOE
940,Robes of Insight,inv_chest_cloth_26,epic,Chest,Cloth,BOE
942,Freezing Band,inv_jewelry_ring_07,epic,Finger,Finger,BOE
943,Warden Staff,inv_staff_29,epic,Two-hand,Staff,BOE
944,Elemental Mage Staff,inv_staff_07,epic,Two-hand,Staff,BOE
983,Red Linen Sash,inv_misc_bandana_03,common,Waist,Cloth,
997,Fire Sword of Crippling,inv_sword_04,common,Main Hand,Sword,
1008,Well-used Sword,inv_sword_04,common,Main Hand,Sword,
1009,Compact Hammer,inv_hammer_08,uncommon,Main Hand,Mace,
1010,Gnarled Short Staff,inv_staff_17,common,Two-hand,Staff,
1011,Sharp Axe,inv_axe_04,common,Main Hand,Axe,
1024,Plate Helmet D2 (test),inv_helmet_03,common,Head,Leather,
1027,Mail Helmet A (Test),inv_helmet_03,common,Head,Leather,
1076,Defias Renegade Ring,inv_jewelry_ring_02,uncommon,Finger,Finger,
1077,Defias Mage Ring,inv_jewelry_ring_14,uncommon,Finger,Finger,
1116,Ring of Pure Silver,inv_jewelry_ring_01,uncommon,Finger,Finger,
1121,Feet of the Lynx,inv_boots_wolf,rare,Feet,Leather,BOE
1131,Totem of Infliction,inv_misc_bone_elfskull_01,uncommon,Off Hand,Held In Off-Hand,
1154,Belt of the People's Militia,inv_belt_04,common,Waist,Mail,
1155,Rod of the Sleepwalker,inv_staff_06,rare,Two-hand,Staff,
1156,Lavishly Jeweled Ring,inv_jewelry_ring_09,rare,Finger,Finger,
1158,Solid Metal Club,inv_mace_01,common,Main Hand,Mace,
1159,Militia Quarterstaff,inv_staff_08,common,Two-hand,Staff,
1161,Militia Shortsword,inv_sword_04,common,Main Hand,Sword,
1166,Dented Buckler,inv_shield_09,common,Off Hand,Shield,
1167,Small Targe,inv_shield_09,common,Off Hand,Shield,
1168,Skullflame Shield,inv_shield_01,epic,Off Hand,Shield,BOE
1169,Blackskull Shield,spell_shadow_grimward,epic,Off Hand,Shield,BOE
1171,Well-stitched Robe,inv_chest_cloth_24,common,Chest,Cloth,
1172,Grayson's Torch,inv_torch_lit,uncommon,Off Hand,Held In Off-Hand,
1173,Weather-worn Boots,inv_boots_03,common,Feet,Leather,
1182,Brass-studded Bracers,inv_bracer_07,common,Wrist,Mail,
1183,Elastic Wristguards,inv_bracer_10,common,Wrist,Cloth,
1189,Overseer's Ring,inv_jewelry_ring_03,uncommon,Finger,Finger,
1190,Overseer's Cloak,inv_misc_cape_08,uncommon,Back,Cloth,
1193,Banded Buckler,inv_shield_03,common,Off Hand,Shield,
1194,Bastard Sword,inv_sword_06,common,Two-hand,Sword,
1195,Kobold Mining Shovel,inv_misc_shovel_01,common,Two-hand,Mace,
1196,Tabar,inv_axe_04,common,Two-hand,Axe,
1197,Giant Mace,inv_mace_02,common,Two-hand,Mace,
1198,Claymore,inv_sword_40,common,Two-hand,Sword,
1200,Large Wooden Shield,inv_shield_09,common,Off Hand,Shield,
1201,Dull Heater Shield,inv_shield_04,common,Off Hand,Shield,
1202,Wall Shield,inv_shield_03,common,Off Hand,Shield,
1203,Aegis of Stormwind,inv_shield_06,rare,Off Hand,Shield,BOE
1204,The Green Tower,inv_shield_06,epic,Off Hand,Shield,BOE
1207,Murphstar,inv_mace_15,uncommon,One-hand,Mace,
1211,Gnoll War Harness,inv_chest_leather_04,uncommon,Chest,Leather,
1213,Gnoll Kindred Bracers,inv_bracer_04,common,Wrist,Leather,
1214,Gnoll Punisher,inv_hammer_09,uncommon,Main Hand,Mace,
1215,Support Girdle,inv_belt_09,uncommon,Waist,Leather,
1218,Heavy Gnoll War Club,inv_mace_14,uncommon,Two-hand,Mace,
1219,Redridge Machete,inv_sword_16,uncommon,Main Hand,Sword,
1220,Lupine Axe,inv_axe_14,uncommon,Two-hand,Axe,
1254,Lesser Firestone,inv_misc_gem_bloodstone_02,common,Off Hand,Held In Off-Hand,
1263,Brain Hacker,inv_weapon_halberd_10,epic,Two-hand,Axe,BOE
1264,Headbasher,inv_mace_07,uncommon,Two-hand,Mace,
1265,Scorpion Sting,inv_sword_12,rare,One-hand,Sword,BOE
1270,Finely Woven Cloak,inv_misc_cape_15,uncommon,Back,Cloth,
1273,Forest Chain,inv_chest_plate07,uncommon,Chest,Mail,
1275,Deputy Chain Coat,inv_chest_chain,uncommon,Chest,Mail,
1276,Fire Hardened Buckler,inv_shield_09,uncommon,Off Hand,Shield,
1280,Cloaked Hood,inv_helmet_30,uncommon,Head,Leather,
1282,Sparkmetal Coif,inv_helmet_02,uncommon,Head,Mail,
1287,Giant Tarantula Fang,inv_misc_monsterfang_01,uncommon,One-hand,Dagger,
1292,Butcher's Cleaver,inv_axe_23,rare,One-hand,Axe,
1296,Blackrock Mace,inv_mace_06,uncommon,Main Hand,Mace,
1297,Robes of the Shadowcaster,inv_chest_cloth_17,uncommon,Chest,Cloth,
1299,Lesser Belt of the Spire,inv_belt_29,uncommon,Waist,Cloth,
1300,Lesser Staff of the Spire,inv_wand_07,uncommon,Two-hand,Staff,
1302,Black Whelp Gloves,inv_gauntlets_17,uncommon,Hands,Leather,
1303,Bridgeworker's Gloves,inv_gauntlets_04,uncommon,Hands,Mail,
1304,Riding Gloves,inv_gauntlets_05,uncommon,Hands,Cloth,
1306,Wolfmane Wristguards,inv_bracer_04,uncommon,Wrist,Leather,
1310,Smith's Trousers,inv_pants_02,uncommon,Legs,Leather,
1314,Ghoul Fingers,inv_gauntlets_13,uncommon,Hands,Leather,
1315,Lei of Lilies,inv_misc_flower_01,epic,Neck,Neck,BOE
1317,Hardened Root Staff,inv_staff_16,uncommon,Two-hand,Staff,
1318,Night Reaver,inv_throwingaxe_06,rare,Two-hand,Axe,
1319,Ring of Iron Will,inv_belt_31,uncommon,Finger,Finger,
1351,Fingerbone Bracers,inv_bracer_16,uncommon,Wrist,Cloth,
1355,Buckskin Cape,inv_misc_pelt_bear_02,uncommon,Back,Cloth,
1359,Lion-stamped Gloves,inv_gauntlets_05,common,Hands,Leather,
1360,Stormwind Chain Gloves,inv_gauntlets_05,common,Hands,Mail,
1364,Ragged Leather Vest,inv_shirt_05,poor,Chest,Leather,
1366,Ragged Leather Pants,inv_pants_06,poor,Legs,Leather,
1367,Ragged Leather Boots,inv_boots_06,poor,Feet,Leather,
1368,Ragged Leather Gloves,inv_gauntlets_18,poor,Hands,Leather,
1369,Ragged Leather Belt,inv_belt_24,poor,Waist,Leather,
1370,Ragged Leather Bracers,inv_bracer_10,poor,Wrist,Leather,
1372,Ragged Cloak,inv_misc_cape_10,poor,Back,Cloth,
1374,Frayed Shoes,inv_boots_09,poor,Feet,Cloth,
1376,Frayed Cloak,inv_misc_cape_10,poor,Back,Cloth,
1377,Frayed Gloves,inv_gauntlets_18,poor,Hands,Cloth,
1378,Frayed Pants,inv_pants_09,poor,Legs,Cloth,
1380,Frayed Robe,inv_chest_cloth_21,poor,Chest,Cloth,
1382,Rock Mace,inv_mace_07,common,Main Hand,Mace,
1383,Stone Tomahawk,inv_throwingaxe_03,common,Main Hand,Axe,
1384,Dull Blade,inv_sword_04,common,Main Hand,Sword,
1386,Thistlewood Axe,inv_axe_01,common,Two-hand,Axe,
1387,Ghoulfang,inv_sword_07,uncommon,Two-hand,Sword,
1388,Crooked Staff,inv_staff_22,common,Two-hand,Staff,
1389,Kobold Mining Mallet,inv_hammer_09,common,Main Hand,Mace,
1391,Riverpaw Mystic Staff,inv_wand_11,uncommon,Two-hand,Staff,
1394,Driftwood Club,inv_mace_10,uncommon,Main Hand,Mace,
1395,Apprentice's Pants,inv_pants_01,poor,Legs,Cloth,
1396,Acolyte's Pants,inv_pants_01,poor,Legs,Cloth,
1404,Tidal Charm,inv_misc_rune_01,uncommon,Trinket,Trinket,
1405,Foamspittle Staff,inv_staff_06,uncommon,Two-hand,Staff,
1406,Pearl-encrusted Spear,inv_spear_06,uncommon,Two-hand,Polearm,
1411,Withered Staff,inv_staff_02,poor,Two-hand,Staff,
1412,Crude Bastard Sword,inv_sword_06,poor,Two-hand,Sword,
1413,Feeble Sword,inv_sword_04,poor,Main Hand,Sword,
1414,Cracked Sledge,inv_hammer_09,poor,Two-hand,Mace,
1415,Carpenter's Mallet,inv_hammer_15,poor,Main Hand,Mace,
1416,Rusty Hatchet,inv_throwingaxe_03,poor,Main Hand,Axe,
1417,Beaten Battle Axe,inv_throwingaxe_06,poor,Two-hand,Axe,
1418,Worn Leather Belt,inv_belt_24,poor,Waist,Leather,
1419,Worn Leather Boots,inv_boots_06,poor,Feet,Leather,
1420,Worn Leather Bracers,inv_bracer_05,poor,Wrist,Leather,
1421,Worn Hide Cloak,inv_misc_cape_14,poor,Back,Cloth,
1422,Worn Leather Gloves,inv_gauntlets_18,poor,Hands,Leather,
1423,Worn Leather Pants,inv_pants_06,poor,Legs,Leather,
1425,Worn Leather Vest,inv_shirt_05,poor,Chest,Leather,
1427,Patchwork Shoes,inv_boots_09,poor,Feet,Cloth,
1429,Patchwork Cloak,inv_misc_cape_11,poor,Back,Cloth,
1430,Patchwork Gloves,inv_gauntlets_18,poor,Hands,Cloth,
1431,Patchwork Pants,inv_pants_11,poor,Legs,Cloth,
1433,Patchwork Armor,inv_shirt_06,poor,Chest,Cloth,
1436,Frontier Britches,inv_pants_05,uncommon,Legs,Leather,
1438,Warrior's Shield,inv_shield_03,common,Off Hand,Shield,
1440,Gnoll Skull Basher,inv_hammer_11,uncommon,Main Hand,Mace,
1443,Jeweled Amulet of Cainwyn,inv_jewelry_amulet_01,epic,Neck,Neck,BOE
1445,Blackrock Pauldrons,inv_shoulder_07,common,Shoulder,Mail,
1446,Blackrock Boots,inv_boots_01,uncommon,Feet,Mail,
1447,Ring of Saviors,inv_belt_27,epic,Finger,Finger,BOE
1448,Blackrock Gauntlets,inv_gauntlets_04,uncommon,Hands,Mail,
1449,Minor Channeling Ring,inv_jewelry_ring_13,uncommon,Finger,Finger,
1454,Axe of the Enforcer,inv_axe_21,rare,One-hand,Axe,
1455,Blackrock Champion's Axe,inv_weapon_halbard_01,uncommon,Two-hand,Axe,
1457,Shadowhide Mace,inv_mace_01,uncommon,Main Hand,Mace,
1458,Shadowhide Maul,inv_hammer_16,uncommon,Two-hand,Mace,
1459,Shadowhide Scalper,inv_throwingaxe_03,uncommon,Main Hand,Axe,
1460,Shadowhide Two-handed Sword,inv_sword_46,uncommon,Two-hand,Sword,
1461,Slayer's Battle Axe,inv_throwingaxe_06,uncommon,Two-hand,Axe,
1462,Ring of the Shadow,inv_jewelry_ring_15,uncommon,Finger,Finger,
1465,Tigerbane,inv_weapon_shortblade_15,uncommon,One-hand,Dagger,
1469,Scimitar of Atun,inv_sword_24,uncommon,Main Hand,Sword,
1473,Riverside Staff,inv_staff_08,uncommon,Two-hand,Staff,
1479,Salma's Oven Mitts,inv_gauntlets_06,common,Hands,Cloth,
1480,Fist of the People's Militia,inv_hammer_20,uncommon,Main Hand,Mace,
1481,Grimclaw,inv_axe_13,rare,One-hand,Axe,
1482,Shadowfang,inv_sword_13,rare,Main Hand,Sword,
1483,Face Smasher,inv_hammer_08,rare,One-hand,Mace,
1484,Witching Stave,inv_wand_04,rare,Two-hand,Staff,
1485,Pitchfork,inv_spear_04,poor,Two-hand,Polearm,
1486,Tree Bark Jacket,inv_shirt_02,rare,Chest,Cloth,
1488,Avenger's Armor,inv_chest_chain,rare,Chest,Mail,
1489,Gloomshroud Armor,inv_chest_leather_08,rare,Chest,Leather,
1490,Guardian Talisman,inv_jewelry_talisman_05,uncommon,Trinket,Trinket,
1491,Ring of Precision,inv_jewelry_ring_14,rare,Finger,Finger,
1493,Heavy Marauder Scimitar,inv_sword_24,rare,Main Hand,Sword,BOE
1495,Calico Shoes,inv_boots_05,poor,Feet,Cloth,
1497,Calico Cloak,inv_misc_cape_02,poor,Back,Cloth,
1498,Calico Gloves,inv_gauntlets_18,poor,Hands,Cloth,
1499,Calico Pants,inv_pants_11,poor,Legs,Cloth,
1501,Calico Tunic,inv_shirt_16,poor,Chest,Cloth,
1502,Warped Leather Belt,inv_belt_26,poor,Waist,Leather,
1503,Warped Leather Boots,inv_boots_05,poor,Feet,Leather,
1504,Warped Leather Bracers,inv_bracer_07,poor,Wrist,Leather,
1505,Warped Cloak,inv_misc_cape_08,poor,Back,Cloth,
1506,Warped Leather Gloves,inv_gauntlets_18,poor,Hands,Leather,
1507,Warped Leather Pants,inv_pants_08,poor,Legs,Leather,
1509,Warped Leather Vest,inv_shirt_05,poor,Chest,Leather,
1510,Heavy Hammer,inv_hammer_15,poor,Main Hand,Mace,
1511,Commoner's Sword,inv_sword_04,poor,Main Hand,Sword,
1512,Crude Battle Axe,inv_throwingaxe_05,poor,Two-hand,Axe,
1513,Old Greatsword,inv_sword_06,poor,Two-hand,Sword,
1514,Rusty Warhammer,inv_hammer_16,poor,Two-hand,Mace,
1515,Rough Wooden Staff,inv_staff_09,poor,Two-hand,Staff,
1516,Worn Hatchet,inv_throwingaxe_01,poor,Main Hand,Axe,
1521,Lumbering Ogre Axe,inv_axe_18,uncommon,Two-hand,Axe,
1522,Headhunting Spear,inv_spear_05,uncommon,Two-hand,Polearm,
1523,Huge Stone Club,inv_mace_14,uncommon,Two-hand,Mace,
1539,Gnarled Hermit's Staff,inv_staff_17,uncommon,Two-hand,Staff,
1547,Shield of the Faith,spell_holy_powerwordshield,uncommon,Off Hand,Shield,
1557,Buckler of the Seas,inv_shield_09,uncommon,Off Hand,Shield,
1560,Bluegill Sandals,inv_boots_fabric_01,uncommon,Feet,Cloth,
1561,Harvester's Robe,inv_chest_cloth_13,uncommon,Chest,Cloth,
1566,Edge of the People's Militia,inv_sword_25,uncommon,Two-hand,Sword,
1602,Sickle Axe,inv_axe_06,rare,One-hand,Axe,BOE
1604,Chromatic Sword,inv_sword_22,uncommon,Two-hand,Sword,
1607,Soulkeeper,spell_shadow_haunting,rare,Two-hand,Staff,BOE
1608,Skullcrusher Mace,inv_misc_bone_elfskull_01,uncommon,One-hand,Mace,
1613,Spiritchaser Staff,inv_staff_03,uncommon,Two-hand,Staff,
1624,Skullsplitter Helm,inv_helmet_03,uncommon,Head,Mail,
1625,Exquisite Flamberge,inv_sword_46,uncommon,Two-hand,Sword,
1639,Grinning Axe,inv_axe_04,uncommon,Two-hand,Axe,
1640,Monstrous War Axe,inv_axe_18,uncommon,Two-hand,Axe,
1659,Engineering Gloves,inv_gauntlets_04,uncommon,Hands,Cloth,
1664,Spellforce Rod,inv_staff_28,uncommon,Two-hand,Staff,
1677,Drake-scale Vest,inv_chest_chain_06,uncommon,Chest,Mail,
1678,Black Ogre Kickers,inv_boots_01,rare,Feet,Mail,BOE
1679,Korg Bat,inv_mace_01,uncommon,Two-hand,Mace,
1680,Headchopper,inv_axe_17,uncommon,Two-hand,Axe,
1713,Ankh of Life,spell_holy_prayerofhealing02,rare,Trinket,Trinket,BOE
1714,Necklace of Calisea,inv_jewelry_necklace_10,rare,Neck,Neck,BOE
1715,Polished Jazeraint Armor,inv_chest_chain_09,rare,Chest,Mail,BOE
1716,Robe of the Magi,inv_chest_cloth_17,rare,Chest,Cloth,BOE
1717,Double Link Tunic,inv_chest_chain,rare,Chest,Mail,BOE
1718,Basilisk Hide Pants,inv_pants_06,rare,Legs,Leather,BOE
1720,Tanglewood Staff,inv_staff_25,rare,Two-hand,Staff,BOE
1721,Viking Warhammer,inv_hammer_09,rare,Main Hand,Mace,BOE
1722,Thornstone Sledgehammer,inv_hammer_04,rare,Two-hand,Mace,BOE
1726,Poison-tipped Bone Spear,inv_spear_02,rare,Two-hand,Polearm,BOE
1727,Sword of Decay,inv_sword_26,rare,Main Hand,Sword,
1728,Teebu's Blazing Longsword,inv_sword_22,epic,Main Hand,Sword,BOE
1730,Worn Mail Belt,inv_belt_06,poor,Waist,Mail,
1731,Worn Mail Boots,inv_boots_01,poor,Feet,Mail,
1732,Worn Mail Bracers,inv_bracer_03,poor,Wrist,Mail,
1733,Worn Cloak,inv_misc_cape_08,poor,Back,Cloth,
1734,Worn Mail Gloves,inv_gauntlets_04,poor,Hands,Mail,
1735,Worn Mail Pants,inv_pants_03,poor,Legs,Mail,
1737,Worn Mail Vest,inv_chest_chain,poor,Chest,Mail,
1738,Laced Mail Belt,inv_belt_06,poor,Waist,Mail,
1739,Laced Mail Boots,inv_boots_01,poor,Feet,Mail,
1740,Laced Mail Bracers,inv_bracer_03,poor,Wrist,Mail,
1741,Laced Cloak,inv_misc_cape_13,poor,Back,Cloth,
1742,Laced Mail Gloves,inv_gauntlets_04,poor,Hands,Mail,
1743,Laced Mail Pants,inv_pants_03,poor,Legs,Mail,
1744,Laced Mail Shoulderpads,inv_shoulder_07,poor,Shoulder,Mail,
1745,Laced Mail Vest,inv_chest_chain,poor,Chest,Mail,
1746,Linked Chain Belt,inv_belt_06,poor,Waist,Mail,
1747,Linked Chain Boots,inv_boots_01,poor,Feet,Mail,
1748,Linked Chain Bracers,inv_bracer_03,poor,Wrist,Mail,
1749,Linked Chain Cloak,inv_misc_cape_12,poor,Back,Cloth,
1750,Linked Chain Gloves,inv_gauntlets_04,poor,Hands,Mail,
1751,Linked Chain Pants,inv_pants_03,poor,Legs,Mail,
1752,Linked Chain Shoulderpads,inv_shoulder_07,poor,Shoulder,Mail,
1753,Linked Chain Vest,inv_chest_chain,poor,Chest,Mail,
1754,Reinforced Chain Belt,inv_belt_06,poor,Waist,Mail,
1755,Reinforced Chain Boots,inv_boots_01,poor,Feet,Mail,
1756,Reinforced Chain Bracers,inv_bracer_03,poor,Wrist,Mail,
1757,Reinforced Chain Cloak,inv_misc_cape_16,poor,Back,Cloth,
1758,Reinforced Chain Gloves,inv_gauntlets_04,poor,Hands,Mail,
1759,Reinforced Chain Pants,inv_pants_03,poor,Legs,Mail,
1760,Reinforced Chain Shoulderpads,inv_shoulder_07,poor,Shoulder,Mail,
